#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
2.32812116629e+29,0.0,15349.0595501,28549.038959,118967.509103,2.64989402665e+19,-2.21629552484e+18,6.41945824858e+18
1.68489157947e+30,0.0,19325.2404833,27390.7886015,123722.914119,2.6706998629e+19,-2.74490054449e+18,5.54604263377e+18
2.34209876758e+29,0.0,20735.5004228,27239.381548,124997.770382,2.67838400957e+19,-2.69217964991e+18,5.29554650368e+18
2.80220427678e+29,0.0,20397.7914274,29087.6581694,123533.082828,2.64892633826e+19,-2.29458263308e+18,5.75564066147e+18
4.29564461522e+29,0.0,16493.6731083,26750.631514,121191.072528,2.66326549645e+19,-2.67361359638e+18,6.00733079995e+18
4.29990615273e+30,0.0,18155.3372379,27684.8810202,123271.01045,2.66571710087e+19,-2.57412158275e+18,5.63479165309e+18
4.97529536875e+29,0.0,20483.8952059,28038.5620015,123936.649876,2.67080002297e+19,-2.54285790866e+18,5.54223057414e+18
2.31830041453e+29,0.0,14032.7675157,28770.1408752,117720.005949,2.64106394906e+19,-2.12390303641e+18,6.65987398691e+18
4.75140961302e+29,0.0,16982.1305495,28079.0373666,121419.107111,2.66302580557e+19,-2.41901745008e+18,5.90541698226e+18
2.820740872e+29,0.0,17875.4141133,29127.3696603,122450.55382,2.65235505939e+19,-2.16440942803e+18,5.86297572761e+18
1.99364079992e+29,0.0,16995.0823282,27544.2839592,121052.334855,2.66222833361e+19,-2.5469727261e+18,6.01341509816e+18
2.18394676655e+29,0.0,18721.3255116,26283.675043,124974.881375,2.68855371634e+19,-2.81427061889e+18,5.16083530834e+18
2.81594367939e+29,0.0,19337.1735234,28014.1115753,123974.041233,2.66568738364e+19,-2.49846157971e+18,5.56235944399e+18
