#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,kpc,kpc,kpc,kms,kms,kms
0.139505469679,-0.210472596522,-0.127407931068,-0.307333161586,140.688039825,-32.2993702898,-117.754690275
0.127942733553,-0.221683903807,-0.14069165139,-0.302335355325,139.340588914,-29.7256775904,-120.208331742
0.160247035927,-0.194957361209,-0.138087115532,-0.317743598584,141.979328195,-29.9269830731,-112.100825788
0.11461529327,-0.203085662248,-0.133151360985,-0.309696100507,141.089525302,-31.3009233806,-116.761352402
0.376402989094,-0.225637094069,-0.136957824994,-0.299667849116,139.079724435,-30.7402319645,-121.465094009
0.135933906929,-0.216342884361,-0.132415161441,-0.307883633935,140.270009192,-31.1184355473,-116.880115144
0.105003692636,-0.197776024903,-0.139646684792,-0.315484080075,141.523691116,-29.6983930297,-113.513953983
0.136152807138,-0.231058031572,-0.13386581951,-0.305286810415,139.2967344,-31.6706451262,-117.583035945
0.203169354792,-0.20139024631,-0.135562993072,-0.313293794989,141.549064381,-30.7386834252,-114.37771011
0.23886269052,-0.231102477676,-0.138896444078,-0.300518125725,139.062978974,-31.0509622558,-119.750162219
0.30155587663,-0.212753348889,-0.138811798049,-0.313173336778,140.661851618,-30.2328419714,-114.209786095
0.160777794888,-0.216703820983,-0.136713671682,-0.302162502638,139.721078221,-30.6409434222,-120.458627871
0.131008619048,-0.221430169613,-0.139677266684,-0.305564220041,139.452828236,-30.1868840309,-118.746999695
0.469450615504,-0.223627591638,-0.135819344032,-0.305299308689,139.910570472,-31.2875347262,-117.319905105
0.101457370665,-0.199769172456,-0.138923784282,-0.314175222621,141.478838802,-29.8188697602,-114.088340907
0.192204433913,-0.21154287679,-0.133341366232,-0.307433950612,140.60052561,-31.4062637137,-117.496455669
0.10166611631,-0.217430303228,-0.135999274761,-0.307112546121,140.131524662,-30.6812082825,-116.957217859
0.130621381425,-0.20362837597,-0.135983567729,-0.308908595892,141.184267825,-30.6136513037,-116.633625141
0.196183766103,-0.217947699985,-0.136988718839,-0.305227541837,139.963777376,-29.9022421516,-118.298599652
0.109722071176,-0.220528258181,-0.129361032131,-0.299370496344,139.930677748,-32.1917007615,-120.768795283
0.172733178938,-0.204459797809,-0.13525246253,-0.313668991328,141.234854812,-30.9314831546,-114.220829382
0.149576642404,-0.208532707718,-0.132950167549,-0.310824132706,140.746123864,-31.024955859,-115.884561845
0.217734529067,-0.199897423211,-0.135550926666,-0.312816609563,141.477525466,-30.6602287685,-115.195006063
0.117336858461,-0.224441237807,-0.13970144759,-0.309412910034,139.696231792,-30.3824993716,-115.936044302
0.129644698833,-0.201905782073,-0.136786863023,-0.314176546782,141.222748345,-30.509393071,-114.479673275
0.110619464733,-0.22027800801,-0.135836699204,-0.304192942832,139.824728538,-30.985517853,-118.938860036
0.305637585417,-0.2178353953,-0.139919729366,-0.315010166654,140.227178902,-29.9126923832,-113.44090534
0.104804772987,-0.201783979868,-0.13258939772,-0.308489472104,141.207288486,-31.3006474878,-117.337690886
0.139530852247,-0.19889042555,-0.137063351783,-0.304958720723,141.310948302,-30.5857939858,-118.840760369
0.131991837341,-0.220602611843,-0.138649568617,-0.303890925557,139.345823472,-30.0397211994,-119.970717566
0.281306827679,-0.211932962313,-0.133723083383,-0.306903700322,140.527719018,-31.2629887603,-117.561700194
